"name","app_version","date","source","component","component_version","purl","transitive"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.reduce","4.6.0","pkg:npm/lodash.reduce@4.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.reject","4.6.0","pkg:npm/lodash.reject@4.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.some","4.6.0","pkg:npm/lodash.some@4.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","colors","1.4.0","pkg:npm/colors@1.4.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","connect-mongodb-session","2.2.0","pkg:npm/connect-mongodb-session@2.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","archetype","0.8.8","pkg:npm/archetype@0.8.8","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.clonedeep","4.5.0","pkg:npm/lodash.clonedeep@4.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.set","4.3.2","pkg:npm/lodash.set@4.3.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.unset","4.5.2","pkg:npm/lodash.unset@4.5.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mpath","0.5.1","pkg:npm/mpath@0.5.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","standard-error","1.1.0","pkg:npm/standard-error@1.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mongodb","3.2.7","pkg:npm/mongodb@3.2.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mongodb-core","3.2.7","pkg:npm/mongodb-core@3.2.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","bson","1.1.6","pkg:npm/bson@1.1.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","require_optional","1.0.1","pkg:npm/require_optional@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","resolve-from","2.0.0","pkg:npm/resolve-from@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","semver","5.4.1","pkg:npm/semver@5.4.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","safe-buffer","5.2.0","pkg:npm/safe-buffer@5.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","saslprep","1.0.3","pkg:npm/saslprep@1.0.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","sparse-bitfield","3.0.3","pkg:npm/sparse-bitfield@3.0.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","memory-pager","1.5.0","pkg:npm/memory-pager@1.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cookie-parser","1.4.4","pkg:npm/cookie-parser@1.4.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cookie","0.3.1","pkg:npm/cookie@0.3.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cookie-signature","1.0.6","pkg:npm/cookie-signature@1.0.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","countries-list","2.5.0","pkg:npm/countries-list@2.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","csurf","1.11.0","pkg:npm/csurf@1.11.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cookie","0.4.0","pkg:npm/cookie@0.4.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","csrf","3.1.0","pkg:npm/csrf@3.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","rndm","1.2.0","pkg:npm/rndm@1.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","tsscmp","1.0.6","pkg:npm/tsscmp@1.0.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","uid-safe","2.1.5","pkg:npm/uid-safe@2.1.5","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","random-bytes","1.0.0","pkg:npm/random-bytes@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","http-errors","1.7.3","pkg:npm/http-errors@1.7.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","depd","1.1.2","pkg:npm/depd@1.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","inherits","2.0.4","pkg:npm/inherits@2.0.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","setprototypeof","1.1.1","pkg:npm/setprototypeof@1.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","statuses","1.5.0","pkg:npm/statuses@1.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","toidentifier","1.0.0","pkg:npm/toidentifier@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","dotenv","8.2.0","pkg:npm/dotenv@8.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","express","4.17.1","pkg:npm/express@4.17.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","accepts","1.3.7","pkg:npm/accepts@1.3.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mime-types","2.1.24","pkg:npm/mime-types@2.1.24","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mime-db","1.40.0","pkg:npm/mime-db@1.40.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","negotiator","0.6.2","pkg:npm/negotiator@0.6.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","array-flatten","1.1.1","pkg:npm/array-flatten@1.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","body-parser","1.19.0","pkg:npm/body-parser@1.19.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","bytes","3.1.0","pkg:npm/bytes@3.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","content-type","1.0.4","pkg:npm/content-type@1.0.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","debug","2.6.9","pkg:npm/debug@2.6.9","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","ms","2.0.0","pkg:npm/ms@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","http-errors","1.7.2","pkg:npm/http-errors@1.7.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","iconv-lite","0.4.24","pkg:npm/iconv-lite@0.4.24","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","safer-buffer","2.1.2","pkg:npm/safer-buffer@2.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","on-finished","2.3.0","pkg:npm/on-finished@2.3.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","ee-first","1.1.1","pkg:npm/ee-first@1.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","qs","6.7.0","pkg:npm/qs@6.7.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","raw-body","2.4.0","pkg:npm/raw-body@2.4.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","unpipe","1.0.0","pkg:npm/unpipe@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","type-is","1.6.18","pkg:npm/type-is@1.6.18","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","media-typer","0.3.0","pkg:npm/media-typer@0.3.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","content-disposition","0.5.3","pkg:npm/content-disposition@0.5.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","safe-buffer","5.1.2","pkg:npm/safe-buffer@5.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","encodeurl","1.0.2","pkg:npm/encodeurl@1.0.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","escape-html","1.0.3","pkg:npm/escape-html@1.0.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","etag","1.8.1","pkg:npm/etag@1.8.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","finalhandler","1.1.2","pkg:npm/finalhandler@1.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","parseurl","1.3.3","pkg:npm/parseurl@1.3.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","fresh","0.5.2","pkg:npm/fresh@0.5.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","merge-descriptors","1.0.1","pkg:npm/merge-descriptors@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","methods","1.1.2","pkg:npm/methods@1.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","path-to-regexp","0.1.7","pkg:npm/path-to-regexp@0.1.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","proxy-addr","2.0.5","pkg:npm/proxy-addr@2.0.5","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","forwarded","0.1.2","pkg:npm/forwarded@0.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","ipaddr.js","1.9.0","pkg:npm/ipaddr.js@1.9.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","range-parser","1.2.1","pkg:npm/range-parser@1.2.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","send","0.17.1","pkg:npm/send@0.17.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","destroy","1.0.4","pkg:npm/destroy@1.0.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mime","1.6.0","pkg:npm/mime@1.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","ms","2.1.1","pkg:npm/ms@2.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","serve-static","1.14.1","pkg:npm/serve-static@1.14.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","utils-merge","1.0.1","pkg:npm/utils-merge@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","vary","1.1.2","pkg:npm/vary@1.1.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","express-handlebars","3.1.0","pkg:npm/express-handlebars@3.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","glob","7.1.5","pkg:npm/glob@7.1.5","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","fs.realpath","1.0.0","pkg:npm/fs.realpath@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","inflight","1.0.6","pkg:npm/inflight@1.0.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","once","1.4.0","pkg:npm/once@1.4.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","wrappy","1.0.2","pkg:npm/wrappy@1.0.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","minimatch","3.0.4","pkg:npm/minimatch@3.0.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","brace-expansion","1.1.8","pkg:npm/brace-expansion@1.1.8","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","balanced-match","1.0.0","pkg:npm/balanced-match@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","concat-map","0.0.1","pkg:npm/concat-map@0.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","path-is-absolute","1.0.1","pkg:npm/path-is-absolute@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","graceful-fs","4.1.11","pkg:npm/graceful-fs@4.1.11","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","handlebars","4.7.7","pkg:npm/handlebars@4.7.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","minimist","1.2.5","pkg:npm/minimist@1.2.5","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","neo-async","2.6.2","pkg:npm/neo-async@2.6.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","source-map","0.6.1","pkg:npm/source-map@0.6.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","wordwrap","1.0.0","pkg:npm/wordwrap@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","uglify-js","3.13.5","pkg:npm/uglify-js@3.13.5","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","object.assign","4.1.0","pkg:npm/object.assign@4.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","define-properties","1.1.3","pkg:npm/define-properties@1.1.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","object-keys","1.1.1","pkg:npm/object-keys@1.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","function-bind","1.1.1","pkg:npm/function-bind@1.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","has-symbols","1.0.0","pkg:npm/has-symbols@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","promise","8.0.3","pkg:npm/promise@8.0.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","asap","2.0.6","pkg:npm/asap@2.0.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","express-rate-limit","5.0.0","pkg:npm/express-rate-limit@5.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","express-session","1.17.0","pkg:npm/express-session@1.17.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","depd","2.0.0","pkg:npm/depd@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","on-headers","1.0.2","pkg:npm/on-headers@1.0.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","feather-icons","4.25.0","pkg:npm/feather-icons@4.25.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","classnames","2.2.6","pkg:npm/classnames@2.2.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","core-js","3.6.4","pkg:npm/core-js@3.6.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","got","10.6.0","pkg:npm/got@10.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","is","2.1.0","pkg:npm/%40sindresorhus/is@2.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","http-timer","4.0.5","pkg:npm/%40szmarczak/http-timer@4.0.5","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","defer-to-connect","2.0.0","pkg:npm/defer-to-connect@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cacheable-request","6.0.1","pkg:npm/%40types/cacheable-request@6.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","http-cache-semantics","4.0.0","pkg:npm/%40types/http-cache-semantics@4.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","keyv","3.1.1","pkg:npm/%40types/keyv@3.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","node","14.0.9","pkg:npm/%40types/node@14.0.9","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","responselike","1.0.0","pkg:npm/%40types/responselike@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cacheable-lookup","2.0.1","pkg:npm/cacheable-lookup@2.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","keyv","4.0.0","pkg:npm/keyv@4.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","json-buffer","3.0.1","pkg:npm/json-buffer@3.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cacheable-request","7.0.1","pkg:npm/cacheable-request@7.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","clone-response","1.0.2","pkg:npm/clone-response@1.0.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mimic-response","1.0.1","pkg:npm/mimic-response@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","get-stream","5.1.0","pkg:npm/get-stream@5.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","pump","3.0.0","pkg:npm/pump@3.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","end-of-stream","1.4.1","pkg:npm/end-of-stream@1.4.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","http-cache-semantics","4.1.0","pkg:npm/http-cache-semantics@4.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lowercase-keys","2.0.0","pkg:npm/lowercase-keys@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","normalize-url","4.5.1","pkg:npm/normalize-url@4.5.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","responselike","2.0.0","pkg:npm/responselike@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","decompress-response","5.0.0","pkg:npm/decompress-response@5.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","mimic-response","2.1.0","pkg:npm/mimic-response@2.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","duplexer3","0.1.4","pkg:npm/duplexer3@0.1.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","p-cancelable","2.0.0","pkg:npm/p-cancelable@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","p-event","4.1.0","pkg:npm/p-event@4.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","p-timeout","2.0.1","pkg:npm/p-timeout@2.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","p-finally","1.0.0","pkg:npm/p-finally@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","to-readable-stream","2.1.0","pkg:npm/to-readable-stream@2.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","type-fest","0.10.0","pkg:npm/type-fest@0.10.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","gulp-less","4.0.1","pkg:npm/gulp-less@4.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","accord","0.29.0","pkg:npm/accord@0.29.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","convert-source-map","1.5.1","pkg:npm/convert-source-map@1.5.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","indx","0.2.3","pkg:npm/indx@0.2.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.clone","4.5.0","pkg:npm/lodash.clone@4.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.partialright","4.2.1","pkg:npm/lodash.partialright@4.2.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.uniq","4.5.0","pkg:npm/lodash.uniq@4.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","resolve","1.5.0","pkg:npm/resolve@1.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","path-parse","1.0.7","pkg:npm/path-parse@1.0.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","uglify-js","2.8.29","pkg:npm/uglify-js@2.8.29","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","source-map","0.5.7","pkg:npm/source-map@0.5.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","yargs","3.10.0","pkg:npm/yargs@3.10.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","camelcase","1.2.1","pkg:npm/camelcase@1.2.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cliui","2.1.0","pkg:npm/cliui@2.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","center-align","0.1.3","pkg:npm/center-align@0.1.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","align-text","0.1.4","pkg:npm/align-text@0.1.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","kind-of","3.2.2","pkg:npm/kind-of@3.2.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","is-buffer","1.1.6","pkg:npm/is-buffer@1.1.6","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","longest","1.0.1","pkg:npm/longest@1.0.1","false"
